x,y,velocity,yaw,acceleration,time
278.1468505859375,91.42711639404297,15.67212200164795,2.682246446609497,1567.212158203125,28.929481506347656
278.00469970703125,91.49327850341797,15.680542945861816,2.686678647994995,1568.0543212890625,28.93889617919922
277.8764343261719,91.55233764648438,15.690592765808105,2.690728187561035,1569.0592041015625,28.949522018432617
277.71929931640625,91.62391662597656,15.699726104736328,2.6957223415374756,1569.97265625,28.97433853149414
277.5760803222656,91.68841552734375,15.709871292114258,2.700186014175415,1570.9871826171875,28.984058380126953
277.4324645996094,91.7523422241211,15.71861743927002,2.7045023441314697,1571.86181640625,28.99435043334961
277.2885437011719,91.81570434570312,15.727004051208496,2.708723306655884,1572.700439453125,29.004100799560547
277.1442565917969,91.87850952148438,15.735621452331543,2.712938070297241,1573.5621337890625,29.014110565185547
276.9996643066406,91.9407730102539,15.74443531036377,2.717181921005249,1574.443603515625,29.024232864379883
276.854736328125,92.00251770019531,15.75360107421875,2.7214062213897705,1575.360107421875,29.03392791748047
276.70947265625,92.0637435913086,15.762263298034668,2.7255280017852783,1576.226318359375,29.044307708740234
276.5493469238281,92.13046264648438,15.77465534210205,2.7299306392669678,1577.465576171875,29.054590225219727
276.4326477050781,92.1785659790039,15.781111717224121,2.733107328414917,1578.1112060546875,29.063785552978516
276.2718505859375,92.24412536621094,15.784441947937012,2.7375359535217285,1578.444091796875,29.088848114013672
276.12530517578125,92.30316162109375,15.795027732849121,2.7416391372680664,1579.5028076171875,29.098106384277344
275.9784851074219,92.36164855957031,15.803802490234375,2.745779514312744,1580.3802490234375,29.107955932617188
275.8313293457031,92.41957092285156,15.811830520629883,2.74985933303833,1581.18310546875,29.11853790283203
275.6838684082031,92.47691345214844,15.820327758789062,2.7538578510284424,1582.0328369140625,29.128143310546875
275.53607177734375,92.53368377685547,15.828703880310059,2.7578511238098145,1582.8704833984375,29.138437271118164
275.38800048828125,92.58988952636719,15.837156295776367,2.761911630630493,1583.715576171875,29.148151397705078
275.2396240234375,92.64556884765625,15.84896183013916,2.7660672664642334,1584.896240234375,29.158445358276367
275.0909423828125,92.70064544677734,15.857988357543945,2.77020525932312,1585.798828125,29.168203353881836
274.95684814453125,92.74972534179688,15.864850044250488,2.7738373279571533,1586.4849853515625,29.17870330810547
274.7777404785156,92.81459045410156,15.880972862243652,2.7785067558288574,1588.0972900390625,29.20465087890625
274.64312744140625,92.86265563964844,15.877660751342773,2.781966209411621,1587.7659912109375,29.2142391204834
274.4932861328125,92.91548919677734,15.886366844177246,2.7859373092651367,1588.63671875,29.223909378051758
274.3431701660156,92.96776580810547,15.895461082458496,2.7900123596191406,1589.546142578125,29.234188079833984
274.1927490234375,93.01949310302734,15.904302597045898,2.7940778732299805,1590.43017578125,29.244348526000977
274.04205322265625,93.07064056396484,15.912636756896973,2.7980525493621826,1591.263671875,29.254600524902344
273.89105224609375,93.12120819091797,15.921009063720703,2.8019657135009766,1592.1009521484375,29.264122009277344
273.7397766113281,93.17120361328125,15.928912162780762,2.805899143218994,1592.89111328125,29.274112701416016
273.5882568359375,93.22062683105469,15.936725616455078,2.8099098205566406,1593.672607421875,29.283720016479492
273.4516296386719,93.26461791992188,15.952451705932617,2.8135597705841064,1595.2452392578125,29.2944278717041
273.28436279296875,93.31776428222656,15.953246116638184,2.817955255508423,1595.3245849609375,29.319578170776367
273.1320495605469,93.365478515625,15.961341857910156,2.8218514919281006,1596.1341552734375,29.32921028137207
272.97943115234375,93.41262817382812,15.969721794128418,2.825705051422119,1596.97216796875,29.338857650756836
272.8265686035156,93.459228515625,15.977442741394043,2.8295912742614746,1597.7442626953125,29.349348068237305
272.6734619140625,93.50524139404297,15.985102653503418,2.8335511684417725,1598.51025390625,29.35959243774414
272.5201110839844,93.55078125,15.996617317199707,2.8375251293182373,1599.6617431640625,29.3692684173584
272.36651611328125,93.595703125,16.004396438598633,2.8413922786712646,1600.439697265625,29.379262924194336
272.2126770019531,93.64002990722656,16.012306213378906,2.8451762199401855,1601.2305908203125,29.389324188232422
272.05859375,93.683837890625,16.021785736083984,2.848921060562134,1602.1785888671875,29.399267196655273
271.9197082519531,93.72279357910156,16.02777099609375,2.852330446243286,1602.7769775390625,29.40953254699707
271.74969482421875,93.76976013183594,16.036441802978516,2.856588363647461,1603.6441650390625,29.434553146362305
271.5948791503906,93.81185150146484,16.044157028198242,2.8604788780212402,1604.4156494140625,29.444765090942383
271.4398498535156,93.85336303710938,16.05235481262207,2.8642971515655518,1605.2354736328125,29.45462417602539
271.28472900390625,93.89425659179688,16.02410316467285,2.868009090423584,1602.4102783203125,29.464834213256836
271.1297912597656,93.9345474243164,15.996959686279297,2.8716540336608887,1599.696044921875,29.474533081054688
270.9749755859375,93.97429656982422,15.967687606811523,2.8752455711364746,1596.768798828125,29.48487663269043
270.8203430175781,94.01350402832031,15.938178062438965,2.8787474632263184,1593.81787109375,29.494129180908203
270.6658935546875,94.05219268798828,15.908150672912598,2.8820884227752686,1590.8150634765625,29.504335403442383
270.5115966796875,94.09036254882812,15.878276824951172,2.8852384090423584,1587.82763671875,29.51407241821289
270.3729248046875,94.12429809570312,15.848262786865234,2.8879506587982178,1584.8262939453125,29.523841857910156
270.20361328125,94.16526794433594,15.818607330322266,2.891197919845581,1581.8607177734375,29.549686431884766
270.0499267578125,94.20204162597656,15.789022445678711,2.8941190242767334,1578.9022216796875,29.559144973754883
269.89642333984375,94.23837280273438,15.759903907775879,2.8969733715057373,1575.9903564453125,29.56893539428711
269.7431335449219,94.27428436279297,15.730815887451172,2.8996965885162354,1573.08154296875,29.5787410736084
269.59002685546875,94.30977630615234,15.701837539672852,2.9022676944732666,1570.1837158203125,29.588802337646484
269.4371337890625,94.34486389160156,15.672789573669434,2.904737949371338,1567.2789306640625,29.59937858581543
269.2844543457031,94.37954711914062,15.643468856811523,2.9071855545043945,1564.346923828125,29.60881233215332
269.1319580078125,94.413818359375,15.61452865600586,2.90964412689209,1561.452880859375,29.619586944580078
268.97967529296875,94.44770050048828,15.586052894592285,2.9120726585388184,1558.605224609375,29.629281997680664
268.8428039550781,94.47785949707031,15.555466651916504,2.9141788482666016,1555.5467529296875,29.639400482177734
268.67578125,94.51431274414062,15.525747299194336,2.9166321754455566,1552.57470703125,29.66557502746582
268.524169921875,94.54705810546875,15.495391845703125,2.918790578842163,1549.5391845703125,29.674779891967773
268.3727722167969,94.57943725585938,15.465431213378906,2.9209532737731934,1546.5430908203125,29.68505096435547
268.22161865234375,94.61143493652344,15.43825912475586,2.9231507778167725,1543.825927734375,29.695127487182617
